ctry,isic,year,rca
rus,c31,2005,0
mex,c35,2005,0
tha,c72,1995,0
hun,c35,2000,0
zaf,c80,2000,0
mlt,c35,1995,0
arg,c80,2000,0
tur,c28,2000,0
isr,c45,2000,0
brn,c29,2000,0
arg,c80,1995,0
tur,c31,1995,0
brn,c29,1995,0
ind,c31,2008,0
brn,c34,2000,0
mex,c72,2008,0
sau,c75,2000,0
chl,c71,1995,0
khm,c75,2008,0
tha,c90t93,2005,0
aus,c71,2000,0
che,c23,1995,0
jpn,c75,1995,0
nld,c85,2000,0
tha,c71,2000,0
tur,c28,1995,0
lux,c23,1995,0
nor,c23,2005,0
twn,c28,2000,0
zaf,c80,2008,0
mex,c72,2005,0
twn,c72,2000,0
zaf,c24,2005,0
vnm,c72,1995,0
rou,c72,2008,0
rou,c75,2000,0
fin,c70,1995,0
twn,c31,2000,0
irl,c72,1995,0
svn,c31,2008,0
ind,c80,2005,0
bgr,c35,1995,0
tur,c72,2000,0
tur,c71,2000,0
isl,c70,2000,0
chn,c71,2005,0
grc,c70,2005,0
idn,c90t93,2005,0
rus,c31,2000,0
bra,c71,2008,0
mex,c28,1995,0
chl,c35,1995,0
ind,c72,2000,0
twn,c35,2000,0
lva,c23,2008,0
kor,c72,2005,0
brn,c40t41,2005,0
brn,c34,2008,0
chn,c70,2005,0
hun,c31,2008,0
idn,c75,2005,0
idn,c65t67,2005,0
ind,c45,2000,0
khm,c45,1995,0
svk,c71,2008,0
zaf,c72,1995,0
rus,c71,2000,0
idn,c55,2005,0
gbr,c72,2008,0
arg,c55,2000,0
ind,c72,2005,0
chn,c55,1995,0
phl,c80,2005,0
tur,c35,2005,0
bel,c28,2008,0
aus,c28,2008,0
brn,c31,2008,0
zaf,c72,2000,0
jpn,c72,2000,0
mex,c31,2000,0
isl,c75,1995,0
khm,c71,2008,0
ind,c80,2008,0
chl,c72,1995,0
rus,c72,2000,0
phl,c64,2005,0
ind,c45,2008,0
zaf,c71,1995,0
zaf,c71,2000,0
gbr,c35,2008,0
idn,c71,2008,0
arg,c70,2000,0
tha,c75,2000,0
phl,c80,2000,0
pol,c35,2008,0
est,c72,1995,0
sau,c75,1995,0
arg,c71,1995,0
brn,c26,2008,0
chl,c45,1995,0
arg,c80,2008,0
est,c31,2008,0
prt,c71,2005,0
ind,c28,1995,0
tha,c90t93,2000,0
khm,c72,2005,0
ltu,c34,1995,0
swe,c70,2008,0
chn,c40t41,1995,0
grc,c71,2005,0
khm,c45,2000,0
pol,c35,1995,0
svn,c71,2000,0
tur,c31,2008,0
che,c23,2000,0
mlt,c71,2008,0
nor,c80,2005,0
mex,c75,2008,0
chn,c90t93,1995,0
phl,c71,2008,0
chn,c70,2008,0
arg,c70,1995,0
ltu,c35,2000,0
idn,c28,2008,0
tur,c75,1995,0
dnk,c28,2008,0
isl,c70,2005,0
khm,c75,1995,0
vnm,c45,1995,0
rou,c72,1995,0
khm,c71,2000,0
phl,c64,2000,0
mex,c45,1995,0
dnk,c71,2000,0
mex,c35,2008,0
rou,c85,1995,0
brn,c34,1995,0
chl,c72,2005,0
rus,c28,2000,0
ltu,c28,2000,0
rou,c80,2000,0
phl,c85,2008,0
jpn,c45,2000,0
chn,c70,2000,0
phl,c45,2008,0
deu,c71,2000,0
cze,c28,2008,0
chl,c71,2008,0
fra,c45,2008,0
chl,c71,2000,0
rou,c28,1995,0
mex,c45,2008,0
ltu,c31,1995,0
chn,c72,1995,0
est,c28,1995,0
vnm,c75,1995,0
rou,c71,1995,0
phl,c45,2000,0
khm,c40t41,2008,0
ltu,c35,1995,0
sgp,c71,2005,0
rus,c72,1995,0
idn,c45,2008,0
ind,c85,2005,0
