ctry,isic,year,rca
phl,c35,2008,0.0315932
bgr,c303233,2000,0.0317954
lux,c55,2008,0.0318083
che,c34,2005,0.0321845
brn,c15t16,2000,0.0322075
can,c45,1995,0.0324287
row,c34,1995,0.0324441
mys,c55,2005,0.0325862
chn,c65t67,2000,0.0326074
mex,c85,2008,0.0327337
pol,c55,2008,0.0327698
twn,c72,2005,0.0329221
nor,c34,2000,0.0334105
fra,c10t14,2000,0.0334114
nor,c17t19,2005,0.0334378
chl,c90t93,1995,0.0334396
cyp,c29,1995,0.0334843
vnm,c24,2005,0.0335406
che,c10t14,2000,0.0335434
hkg,c55,1995,0.0335591
tur,c80,1995,0.0335847
swe,c55,1995,0.0336649
ltu,c65t67,1995,0.0336841
pol,c55,2005,0.0338667
lva,c34,2008,0.0343384
jpn,c01t05,1995,0.034434
sgp,c01t05,1995,0.0344346
mlt,c10t14,2000,0.0345578
mys,c70,2008,0.0347757
brn,c24,1995,0.0348437
cyp,c10t14,2008,0.0349897
svn,c55,2000,0.035106
arg,c303233,2000,0.0351267
sau,c01t05,1995,0.0353226
tur,c70,2008,0.0353366
mys,c55,1995,0.0356001
irl,c10t14,2000,0.0356235
brn,c23,2000,0.0357978
isr,c20,1995,0.0358283
lux,c303233,2000,0.0359134
grc,c303233,1995,0.0361979
twn,c80,2000,0.0362369
esp,c80,1995,0.0363249
sau,c17t19,2005,0.0363257
zaf,c303233,2005,0.0363836
hkg,c55,2000,0.03673
twn,c71,2005,0.0367738
cyp,c29,2005,0.0368092
cyp,c10t14,1995,0.0369426
phl,c27,2008,0.0372924
arg,c73t74,2000,0.0373383
can,c45,2000,0.0373492
brn,c90t93,2008,0.0375716
sau,c01t05,2000,0.0375822
swe,c55,2005,0.0378266
prt,c45,2008,0.0378548
phl,c35,2005,0.0378657
isl,c20,2000,0.0379712
row,c73t74,2000,0.0380072
fin,c85,2000,0.0381838
cyp,c17t19,2008,0.0381921
idn,c73t74,2008,0.0383877
cyp,c27,1995,0.038486
hkg,c36t37,2008,0.0385632
rus,c45,2005,0.0385927
khm,c23,2008,0.0386572
irl,c34,2005,0.0386618
twn,c40t41,2005,0.0386746
jpn,c80,2005,0.0387535
fra,c10t14,2008,0.0387689
cyp,c31,2000,0.0387777
cyp,c303233,2008,0.0388047
esp,c55,2000,0.038805
mex,c73t74,2008,0.0388386
grc,c10t14,2008,0.038935
irl,c34,2008,0.0391537
bra,c80,2008,0.0391762
zaf,c70,1995,0.0392832
grc,c34,1995,0.0394941
sau,c01t05,2008,0.0396734
mys,c55,2000,0.0396957
jpn,c80,2008,0.0397499
twn,c40t41,2000,0.0398569
isl,c20,1995,0.039857
row,c34,2000,0.0400808
deu,c10t14,2005,0.0402163
khm,c23,1995,0.0402476
dnk,c70,2000,0.0403852
phl,c34,1995,0.0408663
zaf,c303233,2008,0.0409353
che,c34,2008,0.0409821
sau,c70,1995,0.0411559
cyp,c20,1995,0.0412206
hkg,c21t22,2008,0.0412715
idn,c65t67,2008,0.041338
nor,c34,1995,0.041365
sgp,c55,2005,0.0414902
isl,c34,2000,0.0416546
pol,c71,2000,0.0418045
rou,c10t14,2008,0.0426252
aut,c10t14,2000,0.0426656
est,c27,2005,0.0427251
cyp,c35,2008,0.0428325
vnm,c24,2008,0.0428914
lux,c10t14,1995,0.0430605
isl,c34,2005,0.043148
esp,c10t14,2005,0.0433421
sau,c15t16,1995,0.0433762
rus,c45,2008,0.0435829
twn,c71,2008,0.0438497
grc,c34,2000,0.0438885
cyp,c17t19,2005,0.0441748
sgp,c34,2005,0.044312
swe,c55,2000,0.0443294
twn,c70,2008,0.0443587
fra,c10t14,2005,0.0446218
kor,c20,2000,0.0450937
tur,c70,2005,0.0451538
twn,c75,2000,0.0451905
cyp,c10t14,2000,0.0452508
vnm,c23,2008,0.0455223
prt,c40t41,2008,0.0455248
arg,c73t74,1995,0.0455518
sau,c65t67,2008,0.0455568
tha,c80,1995,0.0458243
phl,c35,2000,0.0460032
ltu,c34,2005,0.0460104
nor,c17t19,2000,0.0460334
fra,c45,2000,0.0461907
hkg,c55,2008,0.0464033
arg,c303233,2005,0.0464117
hkg,c36t37,2005,0.0466197
bel,c10t14,2000,0.0469059
ltu,c65t67,2000,0.0469204
isl,c34,1995,0.0469617
sgp,c27,2005,0.0470543
tha,c10t14,1995,0.0472226
idn,c73t74,1995,0.0472532
svk,c71,2000,0.0472691
row,c34,2005,0.0473126
sgp,c80,1995,0.0473527
idn,c72,2000,0.0473532
hkg,c25,2008,0.0474449
usa,c45,2000,0.0475832
arg,c303233,1995,0.0476869
kor,c01t05,2008,0.0478974
arg,c303233,2008,0.0479148
esp,c80,2008,0.047928
usa,c55,2000,0.0480357
mex,c85,1995,0.0481434
lux,c31,2000,0.0481517
ita,c10t14,2000,0.0482553
ita,c55,2000,0.0487121
cyp,c35,2005,0.0488014
isl,c10t14,2000,0.0488965
sgp,c20,2008,0.048976
esp,c55,1995,0.0490199
svn,c71,2005,0.049087
ltu,c55,1995,0.0490897
kor,c40t41,2005,0.0492414
mex,c73t74,2005,0.0492731
cyp,c303233,2005,0.0493939
hkg,c15t16,2000,0.0496734
lux,c303233,1995,0.0497781
brn,c90t93,2005,0.0498816
kor,c70,1995,0.0499745
lva,c303233,2000,0.050007
hkg,c80,1995,0.0500141
rus,c17t19,2008,0.0501221
vnm,c27,1995,0.0501724
mys,c34,1995,0.0502765
cyp,c27,2008,0.0502777
isl,c20,2005,0.0505067
est,c23,1995,0.0506127
esp,c10t14,2000,0.0506209
hkg,c15t16,2005,0.0506853
ita,c10t14,1995,0.0508002
hkg,c17t19,2000,0.0508608
hkg,c26,2005,0.0509813
fin,c10t14,1995,0.0510265
brn,c80,1995,0.0511997
sgp,c34,2008,0.0513505
jpn,c01t05,2008,0.0513956
brn,c90t93,1995,0.0515095
ltu,c55,2008,0.0515544
chl,c31,1995,0.0516238
hkg,c10t14,2000,0.051647
sau,c21t22,1995,0.0518594
lux,c85,2008,0.0519872
cyp,c70,1995,0.051993
hkg,c20,1995,0.0522701
fra,c10t14,1995,0.0522827
idn,c75,1995,0.0525265
mlt,c10t14,2005,0.0526892
row,c73t74,1995,0.0527127
sau,c21t22,2000,0.0528745
usa,c55,2005,0.0529624
twn,c73t74,2005,0.0531479
cyp,c10t14,2005,0.053156
chl,c85,2005,0.0531739
isr,c20,2000,0.0534166
hkg,c36t37,2000,0.0534935
khm,c23,2005,0.0535498
chl,c85,2008,0.0536688
gbr,c85,1995,0.0537389
idn,c72,1995,0.0537436
ltu,c80,1995,0.0537638
row,c73t74,2005,0.053868
est,c10t14,2008,0.053911
irl,c17t19,2008,0.0540418
brn,c72,2005,0.0543543
bra,c40t41,2008,0.0543659
che,c72,2000,0.054368
idn,c34,2000,0.054542
vnm,c23,2005,0.0546492
hkg,c26,2000,0.0547736
hun,c10t14,1995,0.0549676
jpn,c90t93,2008,0.0550685
mys,c70,2005,0.0552698
khm,c70,1995,0.0553489
bgr,c303233,2005,0.0554608
pol,c80,2000,0.0556682
mlt,c27,2008,0.0557946
isl,c34,2008,0.056445
phl,c24,2008,0.0565464
lux,c31,2005,0.0565886
sau,c15t16,2000,0.0568518
ita,c75,2005,0.0568755
cyp,c20,2005,0.0573047
lux,c36t37,2008,0.0573233
grc,c55,2005,0.0574965
mex,c80,2000,0.0576306
khm,c23,2000,0.0582003
vnm,c21t22,1995,0.0582364
sau,c27,2000,0.0583076
grc,c35,2008,0.0584563
isl,c10t14,1995,0.0587338
cyp,c35,1995,0.0587463
jpn,c01t05,2005,0.0587505
mex,c73t74,2000,0.0587596
irl,c34,2000,0.0591004
lux,c80,1995,0.0593366
sau,c27,1995,0.0594215
hkg,c75,2000,0.0596977
mys,c34,2008,0.0597036
esp,c10t14,1995,0.060249
nzl,c34,1995,0.0602742
sgp,c17t19,2008,0.0603084
sau,c31,2008,0.0603881
fin,c85,2005,0.0604059
brn,c01t05,2005,0.0604622
tur,c10t14,2008,0.0606073
che,c72,2005,0.0608792
deu,c10t14,2000,0.0609579
tha,c45,2005,0.0610185
aut,c10t14,1995,0.0610648
lux,c31,2008,0.0611853
sgp,c17t19,2005,0.0614327
irl,c17t19,2005,0.0614346
esp,c80,2005,0.0616866
brn,c72,2008,0.0617529
nzl,c34,2005,0.0618883
sgp,c27,2008,0.0619774
pol,c65t67,2005,0.062027
vnm,c303233,2000,0.0622332
twn,c40t41,2008,0.0624287
tha,c80,2005,0.0625015
aut,c10t14,2005,0.0626315
mys,c70,2000,0.06284
usa,c10t14,2000,0.062862
idn,c85,1995,0.0630272
chl,c85,2000,0.0636035
nor,c55,2005,0.0636877
hkg,c01t05,2005,0.0649224
cyp,c20,2000,0.0650466
brn,c35,1995,0.0651227
sgp,c27,1995,0.0653189
isl,c10t14,2005,0.0654107
chl,c80,2008,0.0654368
tha,c10t14,2008,0.0656292
aus,c303233,2005,0.0656615
cyp,c20,2008,0.0657096
vnm,c23,2000,0.0657405
tha,c45,2008,0.065979
mlt,c29,2005,0.0661942
jpn,c90t93,2000,0.066208
hkg,c27,2000,0.0662109
jpn,c01t05,2000,0.0662676
deu,c80,2005,0.0663052
lva,c303233,1995,0.066362
bgr,c80,2005,0.0665027
rus,c45,2000,0.0665927
tha,c35,1995,0.066644
chl,c55,2008,0.0666822
twn,c65t67,2005,0.0668716
nzl,c34,2000,0.0669544
bra,c65t67,2000,0.0672454
can,c45,2005,0.0675274
bgr,c80,2008,0.0677361
khm,c303233,1995,0.0677883
vnm,c303233,1995,0.0678984
bgr,c80,2000,0.0682819
ltu,c71,2005,0.0683038
lux,c303233,2005,0.0684043
kor,c20,1995,0.0685064
aut,c85,2000,0.0685155
ind,c50t52,2005,0.0686387
sau,c28,2000,0.0689642
chl,c55,2005,0.0694063
sau,c27,2008,0.0694259
cyp,c27,2005,0.0696134
bel,c10t14,1995,0.0696203
cyp,c25,2000,0.0696557
lux,c303233,2008,0.0699237
vnm,c23,1995,0.0700877
mex,c85,2005,0.070383
kor,c71,2000,0.070617
sau,c25,2000,0.0706886
esp,c55,2008,0.0713738
mex,c80,2008,0.0715032
twn,c73t74,2008,0.0716687
nor,c90t93,1995,0.071675
irl,c35,2008,0.0718674
lva,c303233,2005,0.0720194
sau,c01t05,2005,0.0720949
sau,c45,2008,0.0722983
lux,c36t37,2005,0.072709
sau,c60t63,2008,0.0728256
che,c70,1995,0.0729545
mlt,c20,2005,0.0733367
tha,c10t14,2000,0.0736298
esp,c55,2005,0.0736841
mex,c85,2000,0.0737377
kor,c40t41,2000,0.0738036
ltu,c80,2000,0.0744905
rus,c17t19,2005,0.0746842
khm,c73t74,2000,0.0752742
brn,c90t93,2000,0.0753338
khm,c27,1995,0.0754979
rus,c36t37,2008,0.0756505
nor,c55,1995,0.0758942
isl,c80,2000,0.076286
aut,c85,1995,0.0763009
swe,c70,2000,0.0764246
prt,c85,1995,0.0768355
bel,c70,1995,0.0768876
irl,c27,2005,0.0770162
rus,c36t37,2005,0.0770236
twn,c20,2008,0.0771431
che,c72,2008,0.0771765
ita,c55,1995,0.0772099
grc,c303233,2000,0.077394
sau,c25,1995,0.0775849
nor,c17t19,1995,0.0778495
twn,c15t16,2005,0.078073
hkg,c21t22,2005,0.0780753
bra,c90t93,1995,0.0784039
mys,c34,2005,0.0784914
idn,c85,2008,0.0789392
cyp,c27,2000,0.0791145
deu,c10t14,1995,0.0792954
nor,c303233,2000,0.079496
ltu,c55,2000,0.0796582
twn,c65t67,1995,0.0797878
cyp,c25,2008,0.0798549
sgp,c31,2005,0.0801644
row,c64,2005,0.0802389
rus,c80,2008,0.0802728
sgp,c27,2000,0.0805202
ltu,c65t67,2005,0.0805779
chl,c55,1995,0.080635
lva,c303233,2008,0.0807254
dnk,c45,1995,0.080783
sau,c31,2005,0.0815975
rou,c10t14,2005,0.081615
che,c72,1995,0.0817228
bra,c71,2000,0.0819101
sau,c28,2008,0.0819921
hkg,c27,1995,0.0820061
chl,c40t41,2000,0.0820075
phl,c21t22,2008,0.0821571
nor,c303233,2008,0.0821669
bgr,c85,2000,0.0821907
khm,c21t22,1995,0.0822504
chl,c80,1995,0.0824666
sau,c28,1995,0.082574
twn,c20,2005,0.0826352
chl,c80,2005,0.0828939
mex,c73t74,1995,0.0829705
sgp,c26,2000,0.0832395
mys,c34,2000,0.0835502
khm,c303233,2000,0.0837377
tha,c10t14,2005,0.0838743
sgp,c90t93,1995,0.0839226
ltu,c10t14,2005,0.0839681
cze,c10t14,2008,0.0840971
est,c10t14,2005,0.0841434
est,c55,1995,0.0843127
jpn,c15t16,1995,0.0843432
mys,c80,2005,0.0844363
swe,c10t14,2000,0.0845365
rus,c45,1995,0.0848692
hkg,c55,2005,0.0850278
kor,c80,2000,0.0855511
vnm,c25,1995,0.0855686
phl,c23,2008,0.0862871
rou,c10t14,1995,0.0867617
cyp,c25,2005,0.0869405
irl,c27,2008,0.0870012
chn,c10t14,2008,0.0870697
lux,c45,2005,0.0871382
twn,c80,2005,0.0871679
row,c72,2000,0.0871839
twn,c65t67,2008,0.0874582
jpn,c15t16,2000,0.0874967
svk,c10t14,2005,0.0875472
chn,c34,2000,0.0876498
nzl,c34,2008,0.0877296
svk,c71,2005,0.0878709
phl,c21t22,1995,0.0881426
fin,c80,2005,0.0881751
sgp,c40t41,1995,0.0883725
irl,c50t52,2000,0.0885169
mlt,c29,1995,0.0885452
jpn,c71,2000,0.0885692
zaf,c73t74,2008,0.0887906
mys,c85,2008,0.0888513
nor,c303233,2005,0.0891028
ind,c50t52,2008,0.0893901
sgp,c80,2008,0.0895302
khm,c73t74,2008,0.0896683
usa,c10t14,2005,0.0898054
irl,c40t41,2008,0.0898512
hkg,c90t93,1995,0.0903748
rou,c73t74,2000,0.090613
hkg,c10t14,1995,0.0907456
svn,c55,1995,0.0908755
sau,c27,2005,0.0909453
kor,c85,2008,0.0911965
idn,c70,1995,0.0915704
brn,c72,2000,0.0916891
tha,c35,2005,0.0922245
vnm,c70,1995,0.092249
mys,c90t93,2008,0.0925413
sgp,c36t37,2000,0.0925576
idn,c64,2000,0.092667
jpn,c90t93,2005,0.0927754
sau,c70,2008,0.0928011
mex,c65t67,2008,0.0928224
kor,c80,2005,0.093676
sgp,c17t19,2000,0.0938976
sau,c26,1995,0.0942525
ltu,c10t14,2000,0.0946349
khm,c73t74,2005,0.0946488
rou,c73t74,2005,0.0949242
deu,c85,2000,0.0950762
chl,c29,1995,0.09513
can,c50t52,1995,0.0951898
kor,c40t41,1995,0.0952849
hun,c65t67,2008,0.0954168
bra,c40t41,1995,0.0960571
khm,c29,1995,0.0960787
tur,c21t22,1995,0.0963104
vnm,c28,1995,0.0968292
sgp,c26,1995,0.0968645
isr,c10t14,2008,0.0970645
arg,c40t41,2008,0.0973937
brn,c01t05,2008,0.0976927
svk,c10t14,2000,0.0981362
gbr,c70,2000,0.0982483
est,c10t14,1995,0.0982913
rus,c36t37,1995,0.0984189
tha,c35,2000,0.098676
swe,c10t14,2005,0.0988105
sau,c26,2000,0.0989349
isl,c40t41,2008,0.0989586
rou,c70,2005,0.0992275
cyp,c28,2000,0.0994488
jpn,c15t16,2005,0.0995911
hkg,c25,2005,0.0996077
ita,c85,2005,0.0997308
grc,c10t14,2000,0.100011
gbr,c85,2000,0.1001673
fin,c80,2000,0.1002183
vnm,c303233,2005,0.1003356
tur,c10t14,2005,0.1008493
vnm,c21t22,2000,0.1009889
irl,c90t93,1995,0.1011455
isr,c20,2005,0.1013353
ita,c75,1995,0.1016247
row,c35,2008,0.1021435
chl,c55,2000,0.1027569
irl,c40t41,2005,0.1035126
ita,c85,2000,0.1036667
chl,c34,2005,0.1040085
vnm,c29,1995,0.1040169
sgp,c90t93,2000,0.1040198
arg,c40t41,2005,0.104202
sau,c15t16,2008,0.1043143
hkg,c21t22,2000,0.104318
aus,c303233,2000,0.104373
hun,c80,2008,0.1046336
row,c72,2005,0.104682
khm,c303233,2005,0.1048106
jpn,c71,2005,0.1048963
vnm,c27,2000,0.1053117
sgp,c90t93,2005,0.1055068
svk,c65t67,2005,0.105513
lux,c31,1995,0.1055436
idn,c71,2000,0.1057564
chl,c34,2000,0.1060805
twn,c15t16,2008,0.1063721
isl,c35,2000,0.1064994
khm,c303233,2008,0.1066181
rus,c75,2005,0.1067472
dnk,c34,2005,0.1068577
nor,c25,2005,0.1068879
isr,c27,1995,0.1072576
jpn,c15t16,2008,0.1074164
lux,c24,2008,0.1074544
tur,c40t41,1995,0.107559
sgp,c40t41,2000,0.1076356
aus,c40t41,2008,0.1080209
tha,c45,1995,0.1081314
rus,c75,2008,0.108488
deu,c70,1995,0.1087223
chl,c36t37,2005,0.1088524
tha,c45,2000,0.1091383
usa,c55,1995,0.1092181
aus,c303233,2008,0.1094224
chn,c10t14,2005,0.1095947
mlt,c40t41,2005,0.1096225
kor,c80,1995,0.1097885
isl,c36t37,2000,0.1098337
sau,c65t67,2005,0.1098554
tur,c73t74,1995,0.1098846
sgp,c15t16,2000,0.1098977
twn,c40t41,1995,0.1099275
hkg,c01t05,1995,0.110572
dnk,c34,1995,0.1106812
irl,c26,2008,0.110683
prt,c10t14,2005,0.1106997
svk,c85,1995,0.110839
fin,c34,1995,0.1111368
rus,c303233,2005,0.1111464
nor,c75,2000,0.1111563
prt,c10t14,2000,0.1113246
zaf,c73t74,1995,0.1117572
arg,c45,2005,0.1120878
grc,c70,1995,0.1122288
gbr,c20,2008,0.1129033
mys,c75,2000,0.1129124
ind,c50t52,1995,0.1130334
mys,c85,2005,0.1131601
arg,c45,2008,0.113394
isl,c17t19,2000,0.113702
svk,c65t67,2000,0.1138446
mlt,c29,2000,0.1138557
pol,c80,2005,0.1139376
fin,c71,2005,0.1143075
bgr,c85,2008,0.1144389
est,c10t14,2000,0.1146041
cyp,c31,1995,0.1146372
arg,c75,2005,0.1147629
arg,c40t41,1995,0.1149018
irl,c35,2005,0.1149171
aus,c40t41,2005,0.1149927
sgp,c17t19,1995,0.115089
chl,c36t37,2008,0.1155276
ita,c75,2000,0.1157584
zaf,c73t74,2005,0.115907
cyp,c24,2000,0.1162471
lva,c10t14,2005,0.1164635
rus,c80,2005,0.1164685
vnm,c303233,2008,0.1165221
tha,c35,2008,0.1166922
chl,c29,2005,0.1167641
fra,c80,2005,0.1170683
bra,c65t67,2005,0.1172955
chl,c29,2008,0.1174164
bgr,c55,1995,0.1175105
sgp,c80,2005,0.1176123
swe,c10t14,2008,0.1176583
chl,c70,2008,0.1177607
mlt,c29,2008,0.1180578
chn,c64,2008,0.1181423
lux,c24,2005,0.1182466
bra,c80,2005,0.1183298
bra,c64,2000,0.1186751
dnk,c45,2000,0.1187604
sau,c65t67,2000,0.1188115
row,c64,2008,0.1189015
isr,c21t22,1995,0.1189864
nor,c36t37,2005,0.1192125
kor,c90t93,2000,0.1192174
arg,c40t41,2000,0.1193157
hkg,c17t19,1995,0.1199485
isl,c35,2005,0.1200979
dnk,c71,2005,0.1204918
mys,c90t93,2005,0.1209444
sau,c21t22,2008,0.121039
irl,c17t19,2000,0.1216135
chl,c17t19,2000,0.1216211
rus,c25,2005,0.1216248
twn,c85,1995,0.1216303
mlt,c24,2000,0.121941
nzl,c65t67,2008,0.121997
dnk,c55,2008,0.1220277
chl,c34,2008,0.122123
jpn,c64,2005,0.1222281
bgr,c55,2005,0.1224417
idn,c34,2005,0.1224787
cyp,c24,2008,0.1225182
aut,c80,2000,0.1230368
rus,c303233,2008,0.1231976
sau,c25,2008,0.1231994
sgp,c31,2008,0.1232875
isl,c17t19,1995,0.1234322
lva,c24,1995,0.123497
irl,c60t63,1995,0.1237817
lva,c10t14,2008,0.123902
grc,c29,1995,0.1240036
sau,c21t22,2005,0.124049
ind,c21t22,2008,0.1242971
cyp,c36t37,2008,0.1243094
bra,c72,1995,0.124448
khm,c21t22,2000,0.1244784
nor,c36t37,2008,0.1244994
bgr,c85,2005,0.1246544
khm,c10t14,2008,0.1246733
grc,c303233,2005,0.1252748
brn,c73t74,2008,0.1253457
vnm,c27,2005,0.1256078
nor,c25,2008,0.125645
rus,c80,1995,0.1256558
grc,c29,2008,0.1258431
chl,c36t37,2000,0.1259783
chl,c80,2000,0.1260332
chl,c29,2000,0.1260383
irl,c75,2008,0.1262362
brn,c72,1995,0.1267928
mex,c20,2008,0.1269005
prt,c70,2008,0.1269061
prt,c10t14,2008,0.1269418
rou,c90t93,1995,0.1269434
cze,c10t14,2005,0.1275022
sau,c28,2005,0.1275053
phl,c29,1995,0.1276096
sgp,c36t37,2005,0.1278871
cyp,c28,1995,0.1281163
chl,c17t19,2005,0.1282436
bra,c85,2008,0.1282596
esp,c70,1995,0.128295
irl,c27,2000,0.1285709
est,c55,2005,0.1286639
tur,c21t22,2000,0.1287
phl,c27,2005,0.1288754
cze,c65t67,2008,0.1289528
mlt,c26,2008,0.1290295
prt,c85,2008,0.129055
twn,c65t67,2000,0.129516
grc,c34,2005,0.1295449
jpn,c64,2008,0.1295671
svk,c65t67,2008,0.12987
mex,c40t41,2008,0.1301959
arg,c75,2008,0.1303317
phl,c10t14,2008,0.1304526
kor,c65t67,1995,0.1306047
lux,c36t37,2000,0.130647
hun,c65t67,2005,0.1306795
rou,c65t67,2005,0.1306904
gbr,c50t52,2008,0.1307927
dnk,c65t67,1995,0.1310506
tur,c20,2000,0.1317324
lva,c85,1995,0.1321779
isl,c36t37,2005,0.1322381
mlt,c26,1995,0.1322868
isr,c27,2000,0.1324478
sau,c25,2005,0.1324772
est,c34,2000,0.1326688
rou,c65t67,2008,0.132934
swe,c40t41,2000,0.1329881
rus,c75,2000,0.1331894
lux,c45,2008,0.1335402
ita,c75,2008,0.133614
isl,c28,2000,0.1337708
deu,c85,2005,0.1337851
isr,c31,1995,0.1338492
mex,c65t67,2005,0.1339497
irl,c28,2005,0.1340506
cyp,c25,1995,0.1343225
dnk,c55,1995,0.1350688
vnm,c35,1995,0.1351355
chn,c64,2005,0.1354703
bgr,c71,2000,0.1354973
sgp,c90t93,2008,0.1357071
arg,c45,1995,0.1357177
grc,c36t37,2008,0.1358342
row,c72,2008,0.1358868
aus,c17t19,2008,0.1360896
ind,c303233,2000,0.1362244
isl,c28,1995,0.1362247
mlt,c24,2005,0.1363363
bra,c90t93,2000,0.13642
aus,c26,2008,0.1366915
usa,c10t14,2008,0.1369963
isr,c10t14,1995,0.1374349
rou,c303233,2000,0.1375831
irl,c20,2000,0.1377939
grc,c36t37,2005,0.137811
irl,c90t93,2008,0.1380908
mex,c40t41,2005,0.1381869
fin,c65t67,2000,0.1383289
vnm,c27,2008,0.1385026
isr,c23,1995,0.1385898
bel,c303233,2005,0.1386464
ltu,c85,1995,0.1389194
grc,c20,2008,0.1389236
sgp,c80,2000,0.1389313
tur,c10t14,2000,0.1389874
isr,c10t14,2005,0.1390622
rus,c64,2000,0.1394243
vnm,c29,2000,0.1396796
cyp,c24,1995,0.1398567
bra,c303233,1995,0.1398627
brn,c20,1995,0.1398669
fin,c50t52,2000,0.139979
aut,c55,1995,0.1401833
sgp,c15t16,1995,0.1402418
vnm,c28,2000,0.140801
mlt,c45,2000,0.1408058
sgp,c26,2005,0.1409221
swe,c17t19,2008,0.1409876
zaf,c73t74,2000,0.1413043
grc,c20,2005,0.1416054
isl,c17t19,2005,0.1418771
ltu,c70,1995,0.1426067
esp,c80,2000,0.1426262
jpn,c64,1995,0.1427719
khm,c25,1995,0.1428169
mex,c20,2005,0.1429548
gbr,c20,1995,0.1430335
isl,c36t37,1995,0.1432949
isl,c29,2008,0.1436933
sau,c60t63,2000,0.1441186
chl,c40t41,1995,0.1442808
rus,c80,2000,0.1444216
isr,c31,2000,0.144461
fin,c01t05,2008,0.1447972
pol,c65t67,2008,0.1448218
chl,c17t19,2008,0.1454584
twn,c75,2008,0.1454661
est,c23,2000,0.1456833
est,c55,2008,0.1460632
bra,c65t67,1995,0.1461325
est,c80,2008,0.1465568
nor,c303233,1995,0.146746
jpn,c65t67,2008,0.1468106
sau,c15t16,2005,0.1471063
irl,c31,2008,0.1474801
vnm,c25,2000,0.1474945
sgp,c40t41,2005,0.1475482
twn,c15t16,2000,0.1479772
mys,c80,1995,0.1485292
rus,c64,2008,0.1485575
kor,c45,2005,0.1488014
chl,c34,1995,0.1488113
irl,c10t14,1995,0.1494648
aus,c35,2000,0.149621
isl,c29,2005,0.1496897
row,c35,2005,0.1497832
kor,c45,1995,0.1500636
isr,c10t14,2000,0.1502507
hkg,c75,2008,0.1504256
khm,c27,2008,0.1510107
hkg,c29,2008,0.1510429
gbr,c20,2005,0.1510595
cyp,c24,2005,0.1511985
cyp,c28,2005,0.1516626
prt,c71,2000,0.1518028
bel,c71,2000,0.1522105
kor,c85,2005,0.1522865
aus,c303233,1995,0.152488
rou,c10t14,2000,0.15258
bra,c65t67,2008,0.1527993
cze,c303233,1995,0.152943
est,c80,1995,0.1530159
bra,c64,1995,0.1532118
hun,c35,2005,0.1538564
phl,c24,2005,0.1542191
twn,c34,2005,0.1544673
aus,c40t41,1995,0.1550432
rou,c303233,2005,0.1550947
sgp,c70,1995,0.1552242
sau,c60t63,2005,0.1555244
swe,c10t14,1995,0.1558071
arg,c35,2005,0.1559014
cyp,c36t37,2005,0.1574974
lux,c20,1995,0.15752
jpn,c71,2008,0.1578426
kor,c01t05,2000,0.1579225
mys,c80,2000,0.1579833
khm,c27,2000,0.1580638
khm,c21t22,2005,0.1584115
dnk,c80,2005,0.1584174
isl,c28,2005,0.1588791
rus,c25,2008,0.1590409
hkg,c15t16,1995,0.1595883
lux,c01t05,2008,0.1598237
grc,c29,2000,0.1600056
swe,c17t19,2000,0.1603178
lva,c29,1995,0.1604
rus,c25,1995,0.1607714
arg,c45,2000,0.1608592
chn,c80,2008,0.1609204
nor,c25,2000,0.1610203
phl,c36t37,2008,0.1611478
rus,c36t37,2000,0.1613673
isl,c35,1995,0.1613795
cyp,c21t22,1995,0.1615154
dnk,c72,1995,0.1615917
ind,c21t22,2005,0.1619061
bra,c45,2000,0.1619526
rus,c64,2005,0.1624202
cyp,c28,2008,0.162549
arg,c35,2000,0.1626039
grc,c21t22,2000,0.1626445
vnm,c35,2000,0.1627879
nzl,c23,2008,0.1630031
hun,c85,2008,0.1631997
isr,c20,2008,0.1632748
phl,c28,1995,0.1633729
hkg,c80,2008,0.1636905
svn,c65t67,2000,0.1637534
kor,c80,2008,0.1639264
khm,c28,1995,0.164258
mex,c80,2005,0.1643941
sau,c60t63,1995,0.16451
rou,c75,2005,0.16497
fin,c17t19,2008,0.1650501
hkg,c35,2000,0.1651957
chn,c21t22,1995,0.1652039
lux,c45,2000,0.1652557
isr,c27,2005,0.1655132
est,c23,2005,0.1655364
dnk,c55,2000,0.165605
vnm,c21t22,2005,0.1657918
mlt,c17t19,2008,0.165935
irl,c29,2005,0.1659575
dnk,c65t67,2005,0.1661266
aus,c25,2008,0.1661438
twn,c45,1995,0.1661616
est,c70,1995,0.1663514
tha,c73t74,2008,0.1669958
idn,c50t52,2008,0.1673014
row,c64,2000,0.1673153
mys,c21t22,1995,0.1673391
brn,c73t74,2005,0.1673929
hun,c55,1995,0.1678005
grc,c40t41,2005,0.1678281
bra,c50t52,2008,0.1679042
sgp,c21t22,1995,0.1680528
vnm,c29,2008,0.1683191
tur,c20,1995,0.1683252
lux,c24,2000,0.1684756
khm,c29,2008,0.1684923
isl,c29,2000,0.16868
bgr,c35,2000,0.1688301
twn,c34,2008,0.1691085
chl,c70,2005,0.1694949
nzl,c65t67,2000,0.1696635
rus,c303233,2000,0.1702537
che,c01t05,2008,0.170654
mys,c35,2008,0.1708994
gbr,c20,2000,0.1709752
svk,c10t14,1995,0.1711248
che,c01t05,2005,0.1712383
lva,c10t14,2000,0.1712852
lux,c29,2008,0.1713494
twn,c01t05,2008,0.1713523
