ctry,isic,year,nat_res_exp_sha_t_3,trca,avg_gdppc,pop
cyp,c60t63,2011,.008988,2.475567,23856.62,.862
mys,c01t05,2011,.1122961,.9898284,5704.014,29.062
svn,c72,2000,.0089087,.9187848,17829.68,1.988
sau,c64,2011,.7696889,.8518218,14075.39,28.376
gbr,c73t74,1995,.0541818,2.54652,37949.07,58.025
fin,c60t63,1995,.0122247,.6664528,37512.24,5.117
nzl,c45,2011,.142047,.7680123,26658.4,4.389
ltu,c65t67,2005,.0334876,.1126636,7746.578,3.323
vnm,c85,2005,.2554779,2.223776,737.6383,82.392
twn,c21t22,2000,.0017287,.3311463,17220.59,22.277
prt,c24,1995,.0145028,.5390835,18446.16,10.038
grc,c15t16,2005,.0416306,1.562153,20901.11,11.074
hrv,c45,2011,.0226176,3.468571,9801.971,4.281
ita,c72,1995,.0125603,.7643951,30794.79,56.846
svn,c26,2000,.0089087,1.718667,17829.68,1.988
swe,c75,2000,.0095104,.8762094,41830.47,8.883
rus,c40t41,2011,.3071715,.2389376,5489.474,143
cze,c15t16,1995,.0488948,.9576579,13323.08,10.333
est,c31,1995,.0527978,.6181253,9422.442,1.479
esp,c71,2008,.0331284,1.047293,25309.04,45.983
nzl,c01t05,1995,.081232,2.636925,26658.4,3.683
sgp,c50t52,2005,.0012533,.7938181,29983.94,4.266
sau,c303233,2008,.7979922,.007548,14075.39,25.787
svn,c72,2005,.010267,.6023165,17829.68,1.998
ind,c01t05,2000,.0377144,1.367223,805.5861,1029.188
nzl,c35,2005,.0966734,.5755689,26658.4,4.142
chl,c17t19,1995,.1804728,.2223037,7822.408,14.395
nor,c15t16,2005,.4441205,.8019591,64093.89,4.632
nzl,c29,2008,.1260426,.5116701,26658.4,4.266
tha,c90t93,2005,.0224211,.719898,2766.188,65.152
swe,c17t19,2011,.0235314,.1808524,41830.47,9.483
svn,c50t52,2005,.010267,.6756277,17829.68,1.998
arg,c29,2005,.2134373,.1655135,6326.527,37.926
bra,c29,2008,.1896583,.9013301,5040.921,191.532
tur,c95,2005,.0287136,,7122.406,68.435
phl,c85,2005,.0343684,.3183826,1250.67,85.26
bel,c50t52,2008,.013504,1.020123,36196.01,10.667
svn,c21t22,2005,.010267,1.679514,17829.68,1.998
lva,c90t93,1995,.0657463,.5281493,7167.697,2.501
nzl,c65t67,2011,.142047,.4221954,26658.4,4.389
bra,c23,2008,.1896583,.5056005,5040.921,191.532
kor,c73t74,2005,.0016689,.6065567,19016.53,48.138
idn,c45,1995,.2187577,.7790112,1369.773,194.755
tha,c72,2005,.0224211,.05453,2766.188,65.152
tur,c75,1995,.0542871,0,7122.406,57.453
isl,c80,2011,.0147566,.0000226,53989.79,.318
cyp,c36t37,2000,.0047378,.9607001,23856.62,.698
tha,c80,2011,.0556198,.0117417,2766.188,67.638
bgr,c75,2011,.0839,0,3944.294,7.327
svn,c25,2005,.010267,2.490919,17829.68,1.998
fra,c01t05,2000,.0258191,1.357534,34197.66,58.858
kor,c01t05,2011,.0011888,.0485102,19016.53,49.779
jpn,c10t14,2011,.001391,.0067976,35227.1,127.896
dnk,c73t74,2000,.0586817,.9365995,47018.16,5.33
